,新闻名,新闻内容
1,习近平向哈萨克斯坦当选总统托卡耶夫致贺电,2019年6月10日，国家主席习近平致电托卡耶夫，祝贺他当选哈萨克斯坦共和国总统。
2,习近平将访吉、塔两国 绘共建“一带一路”合作新蓝图,习近平主席将于6月12日至16日对吉尔吉斯斯坦、塔吉克斯坦进行国事访问并出席在比什凯克举行的上海合作组织成员国元首理事会第十九次会议和在杜尚别举行的亚洲相互协作与信任措施会议第五次峰会。在当下中国同吉、塔关系处于历史最好时期的基础上，外界认为此访将进一步巩固这一势头，并为双方共建“一带一路”合作绘制新的蓝图。“中吉、中塔是名副其实的好邻居、好伙伴、好朋友，双方关系正处在历史最好时期，面临广阔发展前景。”中国外交部副部长张汉晖在10日中外媒体吹风会上表示，面对国际形势风云变幻，中国同包括吉尔吉斯斯坦、塔吉克斯坦在内的中亚国家关系持续稳定健康发展。中吉、中塔高层近年来互动频繁。今年4月，两国总统分别来华出席第二届“一带一路”国际合作高峰论坛。去年，吉尔吉斯斯坦总统热恩别科夫来华出席上海合作组织青岛峰会并对中国进行首次国事访问。塔吉克斯坦总统拉赫蒙更是多次访华并出席中国多个主场外交活动。同时，中方领导人近年也多次到访两国。中方表示，习近平主席此访将确保中吉、中塔关系在新形势下实现更大发展。据介绍，访问吉、塔期间，习近平主席将分别出席热恩别科夫总统和拉赫蒙总统举行的欢迎仪式、会谈、签字仪式、欢迎宴会等国事活动，同两国元首对中吉、中塔全面战略伙伴关系未来发展作出新规划新部署，进一步夯实中吉、中塔关系的政治基础。近年来中吉、中塔经贸关系也不断加强。截至今年1月，中国是吉尔吉斯斯坦第一大贸易伙伴和第一大投资来源国，同时也是塔第一大投资来源国和第三大贸易伙伴。其中，共建“一带一路”方面的合作成为与两国经贸合作的新亮点。继续加强该领域合作，也被认为将是习近平此访的关注点。据媒体报道，吉方和塔方多位官员表示，期待习近平此访将推动共建“一带一路”合作走深走实。中国俄罗斯东欧中亚学会会长李永全说，吉、塔两国对参与共建“一带一路”的热情非常高。“我前段时间参加了吉尔吉斯斯坦举行的一个智库论坛，吉方普遍对参与共建‘一带一路’感到获益，态度非常积极。”李永全说，吉尔吉斯斯坦是最早支持“一带一路”倡议的国家之一，“一带一路”框架下的许多项目已经给吉方基础设施建设，尤其是交通建设提供了实实在在的好处。同时，许多“一带一路”合作的标志性项目也都经过吉、塔两国，给当地带去了许多就业机会，也改善着当地的交通和民众生活。观察认为，在“一带一路”合作框架下，中国的技术、市场对两国发展经济、实现工业化转型发挥了不可替代的积极作用。李永全说：“习近平主席此访将为双方共建‘一带一路’合作作出新的规划，也将有助于‘一带一路’框架下的合作项目更好开展，造福双方。”
3,习近平和俄罗斯总统普京共同出席中俄能源商务论坛,国家主席习近平7日在圣彼得堡同俄罗斯总统普京一道出席中俄能源商务论坛。两国元首在听取双方代表汇报后分别致辞。习近平指出，中俄互为全面战略协作伙伴，各领域合作持续深化，有力促进了两国共同发展振兴。能源合作是两国合作中分量最重、成果最多、范围最广的领域。双方密切协作，为维护公平、公正、合理、有序的国际能源秩序发挥了积极作用。习近平就巩固和深化中俄能源合作提出4点建议。第一，坚持企业主体、商业原则，广泛寻找合作良机。两国企业要秉持互利双赢、商业可行原则，加强协商接洽，找准合作方向，找好合作伙伴，找对合作项目。要加强金融保险和能源合作相互支持、相互促进。第二，挖掘新潜力，推动中俄能源合作提质升级。要加强能源技术标准合作，推动两国能源标准互认和对接。要加强科技创新对能源合作的促进和引领，推动信息技术和能源产业深度融合，深化能源研发合作，加强经验共享、能力建设、智库交流合作，互学互鉴。第三，促进利益融合，深化上中下游全方位一体化合作。要立足当前，谋划长远，坚持优势互补、互利双赢，拓展深度合作。第四，加强全球能源治理合作，推动能源可持续发展事业。要携手坚定维护多边主义，积极开展多边合作，在全球能源治理体系中发挥建设性作用，为全球能源发展注入更多正能量。习近平强调，中俄能源合作空间广阔，潜力巨大。我愿同普京总统一道，引领和推动两国政府为两国企业扩大合作创造更加良好的营商环境，提供更加全面的政策支持。相信在新时代中俄全面战略协作伙伴关系有力保障下，两国企业一定能够精诚团结，推动两国能源合作百尺竿头更进一步，更好造福两国人民。普京表示，俄中能源商务论坛是我和习近平主席去年共同决定成立的，为双方探讨扩大油气、电力、可再生能源等合作提供了一个重要平台。当前，能源合作已经成为俄中全面战略协作伙伴关系的重要组成部分，也是两国合作发展最快的领域，对双方都有利。俄中在能源基础设施建设、贸易、技术研发等方面的合作取得积极进展，重要油气管线和大型合作项目如期推进。俄罗斯欢迎中国企业加大对俄能源市场投资。俄罗斯政府将完善相关法律法规和政策，为外国企业来俄投资运营提供良好市场环境。丁薛祥、杨洁篪、王毅、何立峰等参加上述活动。
4,习近平在第二十三届圣彼得堡国际经济论坛全会上的致辞（全文）,第二十三届圣彼得堡国际经济论坛全会7日在圣彼得堡举行，国家主席习近平出席并发表题为《坚持可持续发展　共创繁荣美好世界》的致辞。全文如下：——在第二十三届圣彼得堡国际经济论坛全会上的致辞尊敬的普京总统，尊敬的各位同事、来宾，女士们，先生们，朋友们：很高兴应普京总统邀请，出席本届圣彼得堡国际经济论坛。衷心感谢普京总统和俄方朋友的热情接待和周到安排。圣彼得堡是俄罗斯第一大港口，也是享誉世界的“波罗的海明珠”。300多年的历史积淀和近年来的快速发展，赋予这座城市浓郁的古典气质和鲜明的时代风貌，令人赞叹。普京总统曾经弹奏过一首俄罗斯歌曲：“涅瓦河畔有一座城，那是我们劳动的结晶”，生动反映了圣彼得堡在俄罗斯人民心中的特殊位置。圣彼得堡国际经济论坛自1997年创办以来，规模不断扩大，影响力日益提升，已经成为各方交流思想、凝聚智慧、共谋合作的重要平台。本届论坛以“打造可持续发展议程”为主题，契合当前国际社会共同关切，具有重要现实意义。当今世界正经历百年未有之大变局。新兴市场国家和发展中国家的崛起速度之快前所未有，新一轮科技革命和产业变革带来的新陈代谢和激烈竞争前所未有，全球治理体系与国际形势变化的不适应、不对称前所未有。面对变局，群策群力、合作共赢是各方的正确选择。放眼世界，可持续发展是各方的最大利益契合点和最佳合作切入点。联合国2030年可持续发展议程着眼统筹人与自然和谐共处，兼顾当今人类和子孙后代发展需求，提出协调推进经济增长、社会发展、环境保护三大任务，为全球发展描绘了新愿景。今年是新中国成立70周年。作为世界最大的发展中国家和负责任大国，中国始终坚定不移履行可持续发展承诺，取得了世人公认的成就。中国高度重视加强可持续发展国际合作。2013年，我提出共建“一带一路”倡议，旨在实现各国互利共赢、共同发展。共建“一带一路”同联合国2030年可持续发展议程在目标、原则、实施路径上高度契合，得到国际社会积极响应和支持。今年4月，第二届“一带一路”国际合作高峰论坛在北京成功举行，各方一致同意推进高质量共建“一带一路”，秉持共商共建共享原则，坚持开放、绿色、廉洁理念，实现高标准、惠民生、可持续目标，构建全球互联互通伙伴关系，并将共建“一带一路”同落实联合国2030年可持续发展议程有效对接，统筹协调好经济、社会、环境之间关系，走绿色、低碳、可持续发展之路。开展国际合作离不开真诚互信、志同道合的伙伴。俄罗斯是中国最大邻国和全面战略协作伙伴，也是开展各领域合作的重要优先合作伙伴。双方秉持可持续发展理念，积极开展天然气等清洁能源合作，将科技创新、数字经济、网络电商作为新的合作增长点，就跨界资源利用和保护、跨界自然保护区建设开展有效合作。我和普京总统达成共建“一带一路”同欧亚经济联盟对接共识。同时，共建“一带一路”同普京总统倡议的“大欧亚伙伴关系”理念相通，两大倡议可以相互支持，相互促进，并行不悖。相信这将有力推动区域经济融合，有利于实现共同的可持续发展。女士们、先生们、朋友们！可持续发展是社会生产力发展和科技进步的必然产物，契合世界上绝大多数国家的共同诉求。中国人讲：“志之所趋，无远弗届。”各国人民对美好生活的向往，谁都无法阻挡。中方愿继续同国际社会一道，将郑重的承诺转化为具体行动，携手开辟崭新的可持续发展之路。第一，我们要坚持共商共建共享，合力打造开放多元的世界经济。中国将不断扩大对外开放，放宽市场准入，营造公平竞争的市场环境。我们将旗帜鲜明推进经济全球化进程，维护多边贸易体制，致力解决世界经济发展不平衡不平等问题，愿在平等和相互尊重基础上，同各方开展贸易合作，实现共赢。我们将推动共建“一带一路”同落实联合国2030年可持续发展议程协同增效，促进南南合作援助基金、中国－联合国和平与发展基金等发挥应有作用，为广大发展中国家创造更多机会。中方愿同各国分享包括5G技术在内的最新科研成果，共同培育新的核心竞争力，转变经济增长模式。第二，我们要坚持以人为本，努力建设普惠包容的幸福社会。提高人民生活水平是各国政府的首要任务。今年，中国将继续打好精准脱贫攻坚战，力争2020年实现农村贫困人口全部脱贫。努力实现新增就业1100万人以上。大力扶持职业教育，支持志愿服务、慈善事业健康发展，保障弱势群体合法权益。我们也愿同各国就减贫、社保等课题加强交流合作，互学互鉴，为各国人民带来更大获得感、幸福感、安全感。第三，我们要坚持绿色发展，致力构建人与自然和谐共处的美丽家园。俄罗斯著名作家陀思妥耶夫斯基有句名言：“美能拯救世界。”为子孙后代留下碧水蓝天的美丽世界是我们义不容辞的责任。中国的发展绝不会以牺牲环境为代价。我们将秉持绿水青山就是金山银山的发展理念，坚决打赢蓝天、碧水、净土三大保卫战，鼓励发展绿色环保产业，大力发展可再生能源，促进资源节约集约和循环利用。我们也将在对外合作中更加注重环保和生态文明，同各方携手应对全球气候变化、生物多样保护等迫切问题，落实好应对气候变化《巴黎协定》等国际社会共识。女士们、先生们、朋友们！和平与发展仍然是当今时代主题，人类的命运从没有像今天这样紧密相联，各国的利益从没有像今天这样深度融合，和平、发展、合作、共赢的时代潮流不可阻挡。同时，随着逆全球化和霸权主义、强权政治抬头，国际社会面临的新课题、新挑战也与日俱增。人类再次站在了历史的十字路口。可持续发展是破解当前全球性问题的“金钥匙”，同构建人类命运共同体目标相近、理念相通，都将造福全人类、惠及全世界。中国愿继续同各方携手努力，秉持可持续发展理念，体现人类命运共同体担当，倡导多边主义，完善全球治理，共同促进地球村持久和平安宁，共同创造更加繁荣美好的世界。谢谢大家。
5,习近平出席第二十三届圣彼得堡国际经济论坛全会并致辞,第二十三届圣彼得堡国际经济论坛全会7日在圣彼得堡举行。中国国家主席习近平、俄罗斯总统普京、保加利亚总统拉德夫、亚美尼亚总理帕希尼扬、斯洛伐克总理佩列格里尼、联合国秘书长古特雷斯等出席。习近平发表了题为《坚持可持续发展　共创繁荣美好世界》的致辞，强调面对世界百年未有之大变局，中方愿同国际社会一道，合力打造开放多元的世界经济，努力建设普惠包容的幸福社会，致力构建人与自然和谐共处的美丽家园，携手开辟崭新的可持续发展之路。习近平强调，今年是新中国成立70周年。作为世界最大的发展中国家和负责任大国，中国始终坚定不移履行可持续发展承诺，高度重视加强可持续发展国际合作。2013年，我提出共建“一带一路”倡议，旨在实现各国互利共赢、共同发展。共建“一带一路”同联合国2030年可持续发展议程在目标、原则、实施路径上高度契合，得到国际社会积极响应和支持。今年4月，第二届“一带一路”国际合作高峰论坛在北京成功举办，各方一致同意推进高质量共建“一带一路”，走绿色、低碳、可持续发展之路。习近平指出，俄罗斯是中国开展各领域合作的重要优先合作伙伴。共建“一带一路”同普京总统倡议的“大欧亚伙伴关系”理念相通，两大倡议可以相互支持、相互促进、并行不悖，有力推动区域经济融合，实现共同的可持续发展。习近平强调，可持续发展契合世界上绝大多数国家的共同诉求。中方愿同国际社会一道，携手开辟崭新的可持续发展之路。习近平强调，和平与发展仍然是当今时代主题，人类的命运从没有像今天这样紧密相联，各国的利益从没有像今天这样深度融合，国际社会面临的新课题、新挑战也与日俱增。人类再次站在了历史的十字路口。可持续发展是破解当前全球性问题的“金钥匙”。中国愿同各方携手努力，秉持可持续发展理念，体现人类命运共同体担当，倡导多边主义，完善全球治理，共同促进地球村持久和平安宁，共同创造更加繁荣美好的世界。普京表示，世界形势目前出现了令人担忧的动向。自2008年国际金融危机发生以来，世界经济的结构性问题没有得到根本解决，国际贸易作为世界经济增长内生动力的功效下降，保护主义抬头。面对新兴市场国家迅速发展、在世界经济中的影响上升，一些西方国家通过挑起贸易战、推行金融霸权、动辄实施单边制裁和长臂管辖、阻挠正常教育学术交流等不正当手段进行打压。个别西方国家对中国华为公司的打压就是典型的例证。普京强调，世界上没有放之四海而皆准的发展模式，各国都有选择自身发展道路的权利，任何国家都无权把自己的意志强加于人。不平等的国际秩序不可能稳定和可持续。应当在国际社会普遍共识基础上探讨新的国际秩序，切实尊重联合国在国际事务中的核心地位，充分照顾广大发展中国家发展权益。俄罗斯愿同国际社会一道，团结应对共同的挑战。其他与会领导人纷纷表示，全球化是不可逆转的时代潮流，面对人类社会面临的各种问题和挑战，单打独斗行不通，各国必须携手应对。他们表示，中国已经成为捍卫多边主义、国际规则和自由贸易的重要力量。各国要坚决反对单边主义，维护多边主义和多极化进程，维护联合国的权威和作用。要密切协商对话，完善全球治理，深化务实合作，加强各自发展战略及欧亚经济联盟等区域合作机制同“一带一路”对接，全面落实联合国2030年可持续发展议程，积极探讨绿色、低碳、可持续发展之路，消除数字鸿沟，推动经济全球化朝着更加平衡、包容、公平、可持续方向发展，维护国际安全和世界和谐。在互动交流环节，习近平还就逆全球化、共建“一带一路”、朝鲜半岛无核化等回答了全会主持人提问。习近平指出，全球化是历史大势，中国是全球化最坚定的倡导者和维护者之一。当前世界上出现的一些逆全球化动向只不过是全球化潮流中激起的几朵浪花，阻挡不住全球化大潮。全球化出现一些问题并不可怕，不能因噎废食，动辄采取保护主义、单边主义措施，不能采取以邻为壑的自私做法。我们要认识到，全球化出现的问题，反映的是全球治理的滞后。解决这些问题，要坚持以开放为导向，坚定维护多边贸易体制。我们不是要另起炉灶，而是要完善现行国际体系。要以公平平等为基础，提升新兴市场国家和发展中国家在多边机构中的代表性和话语权，使治理架构和利益分配更为平衡合理。要秉持相互尊重的态度，尊重各国社会制度和发展道路，加强沟通协调，妥善处理分歧。习近平强调，中国致力于做国际社会的建设者而不是破坏者，做架桥者而不是挖沟者。我们致力于扩大自己的朋友圈，中俄是全面战略协作伙伴，中国同亚洲、欧盟、非洲、拉美、南太国家都已成为合作伙伴。中美之间交往频繁、利益融合，所谓脱钩难以想象，相信也不是美方各界愿意看到的。习近平指出，在朝鲜半岛问题上，国际社会要继续鼓励朝美双方通过对话建立互信，解决彼此关切，合力推动半岛问题得到妥善解决。中方将继续积极致力于劝和促谈，维护半岛的和平与稳定。普京在交流互动环节再次盛赞中俄两国友谊和密切的协调合作，表示俄中是战略伙伴，两国坚持在相互尊重和平等基础上推进双边关系，互利合作前景广阔，在国际事务中的协作富有成效。普京表示，习近平主席提出的“一带一路”倡议给各国带来机遇，中方在推进这一倡议时从不强加于人。与会的其他国家领导人也表示，愿积极参与共建“一带一路”合作，一些国家对“一带一路”的担忧是不必要的。丁薛祥、杨洁篪、王毅、何立峰等参加上述活动。
6,习近平会见俄罗斯总理梅德韦杰夫：为国际社会贡献更多“中俄方案”,国家主席习近平6日在莫斯科会见俄罗斯总理梅德韦杰夫。习近平指出，今年是中俄建交70周年。中俄关系保持高水平发展，在大国关系中互信程度、协作水平、战略价值最高，为世界和平、稳定、发展作出了重要贡献。当前，中俄关系已经迈入新时代，两国全面战略协作伙伴关系不断发掘出新的内涵。面对纷繁复杂的国际形势、特别是一些遏制新兴市场国家发展的不正当行径，中俄加强全面战略伙伴协作，对维护我们两国和两国人民利益、对维护世界和平稳定繁荣意义重大。习近平强调，双方要再接再厉，推动各领域合作持续深入发展，给两国人民带来更多实惠，为两国发展复兴注入更强大动力。双方还要加强在联合国、世界贸易组织、金砖国家、二十国集团等多边事务中的合作，为国际社会贡献更多“中俄方案”。梅德韦杰夫表示，两国元首昨天签署声明，宣布俄中关系迈入新时代，意义重大。当前，个别国家不计后果，公然违反国际法和国际关系基本准则，动辄制裁他国，打压他国企业，这遏制了世界经济增长，危害了国际贸易发展，其行径是短视和破坏性的。俄中要加强战略协作，携手应对俄中及国际社会面临的共同挑战，切实维护世界和平与发展。俄方愿同中方一道，通过两国总理定期会晤等机制，全面落实好两国元首达成的重要合作共识，包括欧亚经济联盟和共建“一带一路”对接合作。丁薛祥、杨洁篪、王毅、何立峰等参加会见。
7,胡春华出席中国-中东欧国家合作论坛并发表主旨演讲,中国－中东欧国家合作论坛9日在浙江宁波召开。中共中央政治局委员、国务院副总理胡春华出席论坛并发表主旨演讲。胡春华指出，中国－中东欧国家合作启动以来，各领域合作成果丰硕，特别是贸易、投资、基础设施等合作成效显著，对推动中国与中东欧国家互利共赢、深化中欧全面战略伙伴关系发挥了重要作用。中方愿同中东欧国家共同努力，加强发展战略和规划对接，扩大贸易往来，深化投资和产能合作，加快推进基础设施互联互通，不断提升务实合作的广度和深度。胡春华强调，中国将坚定不移扩大对外开放，把开放的大门越开越大。中方将继续缩减负面清单，推动现代服务业、制造业、农业全方位对外开放，加快制定外商投资法配套法规，加强知识产权保护国际合作，扩大优质商品和服务进口，实行高水平的贸易和投资自由化便利化政策。欢迎中东欧各国企业与中国企业一道，抓住时机，深挖潜力，把双方合作推向更高水平。
8,习近平在中俄建交70周年纪念大会上的讲话（全文）,国家主席习近平5日和俄罗斯总统普京在莫斯科大剧院共同出席中俄建交70周年纪念大会。习近平在会上发表题为《携手努力，并肩前行，开创新时代中俄关系的美好未来》的致辞。全文如下：——在中俄建交70周年纪念大会上的讲话尊敬的普京总统，女士们，先生们，朋友们：很高兴同普京总统一道，来到历史悠久、举世闻名的莫斯科大剧院。70年前，毛泽东主席首次访问苏联，两国领导人正是在这里拉开了中苏友好的历史序幕。今天，我们又一次在莫斯科大剧院欢聚一堂，隆重庆祝两国建交70周年，共同迎来中俄关系又一个历史性时刻。我们不会忘记，在艰苦卓绝的卫国战争和抗日战争期间，中苏军民并肩作战、共同抗击法西斯侵略，用鲜血铸就了牢不可破的战斗情谊。在中华人民共和国成立的第二天，苏联即承认并同新中国建立外交关系。在新中国建设百废待兴的岁月里，大批苏联专家援华，用智慧和汗水帮助新中国奠定了工业化基础，也书就了两国人民友谊的佳话。经历了中苏关系的起伏后，双方着眼时代发展潮流和两国人民根本利益，推动中苏关系实现正常化，开创性建立“不结盟、不对抗、不针对第三方”的新型中俄关系，为两国关系长远发展奠定了坚实基础。进入21世纪，面对国际形势新变化，双方签署具有里程碑意义的《中俄睦邻友好合作条约》，将“世代友好、永不为敌”的理念以法律形式确定下来。两国关系提升为全面战略协作伙伴关系，双方坚定视彼此为本国外交优先方向，建立起完备的各领域交往机制，政治互信不断深化，务实合作成果丰硕，人文交流蓬勃开展，国际协作密切有效，为推动建设新型国际关系、构建人类命运共同体树立了典范。女士们、先生们、朋友们！经过70年风云变幻的考验，中俄关系愈加成熟、稳定、坚韧，站在新的历史起点，面临新的历史机遇。刚才，我和普京总统共同签署并发表联合声明，宣布发展中俄新时代全面战略协作伙伴关系，实现两国关系提质升级，共同开启中俄关系更高水平、更大发展的新时代。——新时代的中俄关系，要始终以互信为基石，筑牢彼此战略依托。牢固的政治互信是中俄关系最重要的特征，坚定的相互支持是两国关系的核心价值。我们要像爱护自己的眼睛一样，珍惜和呵护双方建立起来的宝贵互信。要充分利用两国各层级交往机制和完备的合作平台，就各自大政方针、内外政策、发展战略等重大问题坦诚深入沟通交流，加大在涉及彼此核心利益问题上相互支持的力度，牢牢把握中俄关系向前发展的战略方向，不受任何人干扰和破坏。——新时代的中俄关系，要着力深化利益交融，拉紧共同利益纽带。中俄两国都处在国家发展的关键阶段，要携手并肩实现同步振兴。双方将本着开拓创新、互利共赢精神，继续开展共建“一带一路”同欧亚经济联盟对接，持续推进战略性大项目顺利实施，深入挖掘新兴领域合作潜力，充分发挥地方互补优势，不断提升两国合作自身价值和内生动力，构建全方位、深层次、多领域的中俄互利合作新格局，实现更紧密的利益融合，让两国人民共享中俄合作成果。——新时代的中俄关系，要大力促进民心相通，夯实世代友好的民意基础。70年来，无论两国关系经历何种变化，人民的友谊始终坚如磐石。今年，两国主流媒体举办了庆祝建交70周年跨国互动活动，吸引了两国亿万民众积极参与。刚才，我同普京总统一道出席了莫斯科动物园熊猫馆开馆仪式，大熊猫“丁丁”和“如意”落户莫斯科动物园，相信将为俄罗斯人民特别是小朋友们带来欢乐，成为中俄两国人民友谊的又一佳话。下一步，我们要在教育、文化、体育、旅游、媒体、青年等领域举办更多人民广泛参与、喜闻乐见的活动，鼓励两国社会各界、各地方加强交流互鉴，促进理念沟通、文化融通、民心相通，共同传递中俄世代友好的接力棒。——新时代的中俄关系，要更加担当有为，携手维护世界和平安宁。面对复杂变化的国际形势，中俄作为世界大国和联合国安理会常任理事国，将继续秉持公平正义，坚持责任道义，体现担当仗义，同国际社会一道，坚定维护以联合国为核心的国际体系，坚定维护以联合国宪章宗旨和原则为基础的国际秩序，推动世界多极化和国际关系民主化，共同建设更加繁荣稳定、公平公正的世界，携手构建新型国际关系和人类命运共同体。女士们、先生们、朋友们！70年的历史经验充分表明，无论过去、现在还是将来，中俄都是搬不走的好邻居、拆不散的真伙伴。让我们以庆祝建交70周年为新起点，携手努力，并肩前行，共同开创新时代中俄全面战略协作伙伴关系的美好未来！
9,习近平和俄罗斯总统普京共同出席中俄建交70周年纪念活动,国家主席习近平5日和俄罗斯总统普京在莫斯科大剧院共同出席中俄建交70周年纪念大会并观看文艺演出。夜幕下，位于莫斯科市中心的大剧院华灯闪烁、流光溢彩，洋溢着欢乐喜庆的气氛。当地时间20时45分许，习近平和普京一同步入会场。全场起立，鼓掌欢迎。普京首先致辞。他表示，建交70年来，俄中关系经历了极不平凡的发展历程。双方相互支持和帮助，推动两国关系今天达到了历史最高水平。中国是俄罗斯最大的贸易伙伴，两国能源、航空航天、科技等领域合作成果丰硕。俄中两国密切协作，为维护国际和地区安全稳定、解决热点问题、应对人类面临的新挑战新威胁作出了重要贡献。俄中共同支持世界多极化，维护国际法及联合国宪章宗旨和原则，推动形成以平等互利、合作共赢原则为基础的国际新秩序。我同习近平主席今天共同签署并发表了联合声明，为俄中深化合作提出了更加宏伟的目标。俄方愿同中方一道，为更好造福两国人民而共同努力。在热烈掌声中，习近平发表题为《携手努力，并肩前行，开创新时代中俄关系的美好未来》的致辞。习近平说，今天，我们隆重庆祝中俄建交70周年，共同迎来两国关系又一个历史性时刻。我们不会忘记，在艰苦卓绝的卫国战争和抗日战争期间，中苏军民并肩作战、共同抗击法西斯侵略，用鲜血铸就了牢不可破的战斗情谊。在中华人民共和国成立的第二天，苏联即承认并同新中国建立外交关系。在新中国建设百废待兴的岁月里，大批苏联专家用智慧和汗水帮助新中国奠定了工业化基础，也书就了两国人民友谊的佳话。进入21世纪，双方签署具有里程碑意义的《中俄睦邻友好合作条约》。两国关系提升为全面战略协作伙伴关系，为推动建设新型国际关系、构建人类命运共同体树立了典范。习近平强调，经过70年风云变幻考验，中俄关系愈加成熟、稳定、坚韧。我和普京总统宣布发展中俄新时代全面战略协作伙伴关系，共同开启中俄关系更高水平、更大发展的新时代。习近平指出，新时代的中俄关系，要始终以互信为基石，筑牢彼此战略依托，加大在涉及彼此核心利益问题上相互支持力度，牢牢把握中俄关系向前发展的战略方向。要着力深化利益交融，拉紧共同利益纽带，继续开展共建“一带一路”同欧亚经济联盟对接，构建中俄互利合作新格局。要大力促进民心相通，夯实世代友好的民意基础，鼓励两国社会各界、各地方加强交流互鉴，共同传递中俄世代友好的接力棒。要更加担当有为，携手维护世界和平安宁，同国际社会一道，坚定维护以联合国为核心的国际体系，坚定维护以联合国宪章宗旨和原则为基础的国际秩序，推动世界多极化和国际关系民主化，共同建设更加繁荣稳定、公平公正的世界，携手构建新型国际关系和人类命运共同体。习近平强调，70年的历史经验充分表明，无论过去、现在还是将来，中俄都是搬不走的好邻居、拆不散的真伙伴。让我们以庆祝建交70周年为新起点，携手努力，并肩前行，共同开创新时代中俄全面战略协作伙伴关系的美好未来！全场对中俄两国元首的讲话报以热烈的掌声。随后，习近平和普京共同观看“乐动中俄”人文交流主题活动短视频，并欣赏由中俄两国艺术家联袂呈现的文艺演出。演出在俄罗斯民歌《沿着宽阔的街道》中拉开序幕。《庆祝序曲》以丰富的中国民族管弦乐展现了喜瑞祥和的节日场面。中俄艺术家合奏中国乐曲《茉莉花》和俄罗斯乐曲《红莓花儿开》表达出对两国传统友谊的赞美。《来自东方的祝福》构成一幅意境深远的音乐画面。演出在俄罗斯民族乐曲《卡林卡》中落下帷幕。中俄各界人士约1600人出席。纪念大会前，两国元首共同参观中俄建交70周年图片展。丁薛祥、杨洁篪、王毅、何立峰等参加上述活动。
10,习近平同俄罗斯总统普京举行会谈,9月11日，国家主席习近平在符拉迪沃斯托克同俄罗斯总统普京举行会谈。（图片来源：新华社 黄敬文摄）国家主席习近平11日在符拉迪沃斯托克同俄罗斯总统普京举行会谈。两国元首一致认为，今年以来，中俄关系呈现更加积极的发展势头，进入更高水平、更快发展的新时期。一致同意，无论国际形势如何变化，中俄都将坚定发展好两国关系，坚定维护好世界和平稳定。习近平指出，今年以来，我同总统先生分别在北京和约翰内斯堡举行了富有成效的会晤。中俄保持密切的高层交往，体现了两国关系的高水平和特殊性，也凸显了两国关系在各自外交议程中的优先地位。在双方共同努力下，两国关系的政治优势正在不断转化为实实在在的合作成果。双方相互坚定支持对方走符合本国国情的发展道路，坚定支持对方维护自身安全和发展权益，树立了大国、邻国关系典范。双方要巩固传统友谊，加强全面协作，推动中俄全面战略协作伙伴关系再攀高峰，更好惠及两国人民。9月11日，国家主席习近平在符拉迪沃斯托克同俄罗斯总统普京举行会谈。（图片来源：新华社 谢环驰摄）习近平强调，中俄双方要深化共建“一带一路”和欧亚经济联盟对接合作，扩大能源、农业、科技创新、金融等领域合作，推动重点项目稳步实施，加强前沿科学技术共同研发，利用好今明两年中俄地方合作交流年契机，调动两国更多地方积极性，开展更加广泛合作。习近平指出，相互支持对方举办大型活动是中俄双方的好传统。东方经济论坛是总统先生亲自倡议举办，已成为各方凝聚智慧、共商地区合作的重要平台。相信这届论坛将为双方深化包括远东合作在内的地方合作带来新契机。习近平强调，中俄同为联合国安理会常任理事国和主要新兴市场国家，肩负维护世界和平稳定、促进发展繁荣的重任。中俄要在联合国、上海合作组织、金砖国家等多边框架内密切沟通和配合，同国际社会一道，推动热点问题政治解决进程，携手维护国际公平正义和世界和平稳定，坚定不移维护联合国宪章宗旨和原则，共同反对单边主义和贸易保护主义，推动构建新型国际关系和人类命运共同体。9月11日，国家主席习近平在符拉迪沃斯托克同俄罗斯总统普京举行会谈。（图片来源：新华社 谢环驰摄）普京表示，衷心感谢并热烈欢迎习近平主席应邀出席东方经济论坛。我同习近平主席保持密切交往，体现了俄中关系的高水平。近年来，俄中关系呈现强劲发展势头，双方互信日益增强，政治、经济、安全等广泛领域合作成果丰硕。双方要继续推进欧亚经济联盟和“一带一路”对接合作，拓展投资、能源、航天、金融、电子商务等领域合作，密切人文交流，促进地方合作。俄中对当前国际形势有很多一致看法，双方要加强在国际事务中的协调和配合，坚决抵制单边主义，维护公正合理的国际秩序，实现共同发展繁荣。双方还就共同关心的国际和地区问题深入交换了看法。会谈后，两国元首共同见证了多项双边合作文件的签署，并共同会见了记者。
