安哥拉,AGO
阿尔巴尼亚,ALB
安道尔共和国,AND
阿拉伯联合酋长国,ARE
阿根廷,ARG
亚美尼亚,ARM
美属萨摩亚,ASM
安提瓜和巴布达,ATG
澳大利亚,AUS
奥地利,AUT
阿塞拜疆,AZE
布隆迪,BDI
比利时,BEL
贝宁,BEN
布基纳法索,BFA
孟加拉国,BGD
保加利亚,BGR
巴林,BHR
巴哈马,BHS
波斯尼亚和黑塞哥维那,BIH
白俄罗斯,BLR
伯利兹,BLZ
百慕大,BMU
玻利维亚,BOL
巴西,BRA
巴巴多斯,BRB
文莱达鲁萨兰国,BRN
不丹,BTN
博茨瓦纳,BWA
中非共和国,CAF
加拿大,CAN
中歐和波羅的海,CEB
瑞士,CHE
海峡群岛,CHI
智利,CHL
中国,CHN
科特迪瓦,CIV
喀麦隆,CMR
刚果（金）,COD
刚果（布）,COG
哥伦比亚,COL
科摩罗,COM
佛得角,CPV
哥斯达黎加,CRI
加勒比小国,CSS
古巴,CUB
库拉索,CUW
开曼群岛,CYM
塞浦路斯,CYP
捷克共和国,CZE
德国,DEU
吉布提,DJI
多米尼克,DMA
丹麦,DNK
多米尼加共和国,DOM
阿尔及利亚,DZA
东亚与太平洋地区（不包括高收入）,EAP
早人口紅利,EAR
东亚与太平洋地区,EAS
欧洲与中亚地区（不包括高收入）,ECA
欧洲与中亚地区,ECS
厄瓜多尔,ECU
阿拉伯埃及共和国,EGY
欧洲货币联盟,EMU
厄立特里亚,ERI
西班牙,ESP
爱沙尼亚,EST
埃塞俄比亚,ETH
欧洲联盟,EUU
脆弱和受衝突影響的情況下,FCS
芬兰,FIN
斐济,FJI
法国,FRA
法罗群岛,FRO
密克罗尼西亚联邦,FSM
加蓬,GAB
英国,GBR
格鲁吉亚,GEO
加纳,GHA
直布罗陀,GIB
几内亚,GIN
冈比亚,GMB
几内亚比绍共和国,GNB
赤道几内亚,GNQ
希腊,GRC
格林纳达,GRD
格陵兰,GRL
危地马拉,GTM
关岛,GUM
圭亚那,GUY
高收入国家,HIC
中国香港特别行政区,HKG
洪都拉斯,HND
重债穷国 (HIPC),HPC
克罗地亚,HRV
海地,HTI
匈牙利,HUN
只有IBRD,IBD
IBRD与IDA,IBT
