税收（占国民生产总值（GDP）比例）,API_GC.TAX.TOTL.GD.ZS_DS2_zh_excel_v2_10584126.xls
贫困人口比例，按农村贫困线衡量的（占人口的百分比）,API_SI.POV.RUHC_DS2_zh_excel_v2_10578737.xls
贫困人口比例，按城市贫困线衡量的（占人口的百分比）,API_SI.POV.URHC_DS2_zh_excel_v2_10591460.xls
耗电量（人均千瓦时）,API_EG.USE.ELEC.KH.PC_DS2_zh_excel_v2_10578368.xls
公共外债和公共担保的外债存量(PPG)（DOD，现价美元）,API_DT.DOD.DPPG.CD_DS2_zh_excel_v2_10588775.xls
教育公共开支总额，总数（占GDP的比例）,API_SE.XPD.TOTL.GD.ZS_DS2_zh_excel_v2_10617624.xls
二氧化碳排放量（人均公吨数）,API_EN.ATM.CO2E.PC_DS2_zh_excel_v2_10578138.xls
一氧化氮排放量（千公吨二氧化碳当量）,API_EN.ATM.NOXE.KT.CE_DS2_zh_excel_v2_10593018.xls
总失业人数（占劳动力总数的比例）（模拟劳工组织估计）,API_SL.UEM.TOTL.ZS_DS2_zh_excel_v2_10578897.xls
高科技出口（占制成品出口的百分比）,API_TX.VAL.TECH.MF.ZS_DS2_zh_excel_v2_10578880.xls
R&D研究人员（每百万人）,API_SP.POP.SCIE.RD.P6_DS2_zh_excel_v2_10578258.xls
按消费者价格指数衡量的通货膨胀（年通胀率）,API_FP.CPI.TOTL.ZG_DS2_zh_excel_v2_10579081.xls
能源使用量(人均千克石油当量）,API_EG.USE.PCAP.KG.OE_DS2_zh_excel_v2_10580533.xls
商品贸易（GDP的百分比）,API_TG.VAL.TOTL.GD.ZS_DS2_zh_excel_v2_10578988.xls
国内上市公司，总数,API_CM.MKT.LDOM.NO_DS2_zh_excel_v2_10578349.xls
